城市,贷款金额,期限,月供,还款总费用,月管理费,期限最低范围,期限最高范围,还款方式,放款日期,审批时间,担保方式,申请人数,申请条件,总利息
北京,10万元,12月,9225,1.07,月管理费 1.60%,1,12,分期还款,1,1,信用贷,1,北京牌照车辆、全款车、购买三个月以上1、名下有北京牌照车辆2、全款车、购买三个月以上3、信用良好温馨提示：北京牌照车辆、全款车、购买三个月以上,19200
北京,10万元,12月,10046,2.06,月管理费 3.00%,1,120,到期还款,1,1,抵押贷,1,名下有车、北京牌照、有稳定还款来源1、名下有车2、北京牌照3、有稳定还款来源温馨提示：名下有车、北京牌照、有稳定还款来源方可申请,36000
北京,10万元,12月,9333,1.2,参考月利率 1.00%,1,36,分期还款,3,1,信用贷,1,中国合法公民、18-60周岁、信用良好1、中国合法公民2、年龄在18-60岁3、具有完全民事行为能力4、具有合法的借款用途和明确的还款来源5、信用良好温馨提示：中国合法公民、18-60周岁、信用良好方可申请,4720.3
北京,10万元,12月,8885,1.06,参考月利率 1.00%,1,12,到期还款,15,10,抵押贷,0,1、公司五证2、个人信息材料3、公司往来合同4、银行流水5、财务报表6、资产证明,5069.7
北京,10万元,12月,9749,1.7,月管理费 2.50%,1,36,分期还款,1,1,抵押贷,0,1、身份证、户口本2、结婚证3、收入证明、房产证明或资产证明等,30000
北京,10万元,12月,10483,2.58,月管理费 2.15%,1,36,分期还款,3,2,信用贷,0,1、工作证明2、住址证明3、身份证复印件4、银行流水,25800
北京,10万元,12月,10713,2.86,月管理费 2.38%,1,12,分期还款,1,1,抵押贷,1,22-55周岁、本人名下有车、车辆未被抵押1、22-55周岁2、车牌且须在申请人本人名下3、估值要求：裸车价至少8万以上4、车龄要求：最长不超过5年5、其他要求：车辆现未被抵押温馨提示：22-55周岁、本人名下有车、车辆未被抵押方可申请,28560
北京,10万元,12月,10483,2.58,月管理费 2.15%,1,36,分期还款,3,2,信用贷,0,1、房本、购房合同和发票、贷款合同（3者选1）2、还款流水（如果是全款房则不需要）3、工作证明,25800
北京,10万元,12月,8998,1,月管理费 1.20%,1,24,到期还款,2,1,信用贷,1,22周岁-55周岁、具有常住户口、信用良好1、年龄在22周岁（含）以上-55周岁（含）以下2、个人信用良好或信用空白3、有稳定工作温馨提示：22周岁-55周岁、具有常住户口、信用良好方可申请,14400
北京,10万元,12月,9749,1.7,月管理费 2.50%,1,12,到期还款,1,1,抵押贷,0,1、房产所有权利人及配偶身份证明原件2、房产所有权利人及配偶户口簿原件3、婚姻证明（结婚证、离婚证、单身证）4、房屋产权证原件5、20天之内的个人信用报告原件6、工作、收入证明资料,30000
广州,10万元,12月,10513,2.62,月管理费 2.18%,1,36,分期还款,2,2,信用贷,1,22-54周岁、有信用记录、月薪3000以上1、年龄22-54周岁中国公民2、有信用记录（用过信用卡、贷款）3、能提供3个月持续流水，月工资3000以上，能确定还款来源温馨提示：22-54周岁、有信用记录、月薪3000以上方可申请,26160
广州,10万元,12月,10483,2.58,月管理费 2.15%,1,36,分期还款,1,1,信用贷,1,22-60周岁、月收入3000元以上、任职单位半年以上1、贷款人群：白领上班族2、年龄22-60周岁的中国公民3、月收入3000元以上4、在本单位连续工作6个月以上5、必须有信用记录（贷过款或者使用过信用卡）温馨提示：必须有信用记录、月收入3000元以上方可申请,25800
广州,10万元,12月,11833,4.2,月管理费 3.50%,1,12,分期还款,1,1,抵押贷,1,23-60周岁、本地有车、裸车价格在10万以上1、23-60周岁2、本人名下拥有在当地车管所登记的国产或进口机动车即申请人须拥有对该车辆的所有权3、裸车价格在10万以上4、车辆在5年之内5、可以押车，也可以不押车，安装GPS温馨提示：23-60周岁、本地有车、裸车价格在10万以上方可申请,42000
广州,10万元,12月,9283,1.14,月管理费 1.70%,1,12,到期还款,3,1,抵押贷,0,1、身份证2、房产证3、信用报告4、婚姻证明5、工作证明（营业执照）,20400
广州,10万元,12月,8833,0.6,参考月利率 0.50%,1,36,分期还款,3,2,信用贷,1,22-60周岁、信用良好、负债不高1、22-60周岁2、信用良好、负债不高3、广州按揭房月供满1年，可贷月供金额45倍4、广州按揭房月供满半年，可贷月供金额30倍5、广州本地户口，供车满1年，可贷月供金额45倍温馨提示：22-60周岁、信用良好、负债不高方可申请,2555.1
广州,10万元,12月,9283,1.14,月管理费 1.70%,1,12,到期还款,3,1,抵押贷,0,1、身份证2、房产证3、信用报告4、婚姻证明5、工作证明（营业执照）,20400
广州,10万元,12月,9463,1.36,参考月利率 0.43%,1,36,分期还款,3,2,信用贷,1,23-60周岁、有房产、按揭还款1年以上1、23-60周岁2、房子银行按揭还款达1年以上（天河、海珠、越秀、荔湾）3、未还清房贷的房子不超过3套4、未结清房贷总金额大于10万温馨提示：23-60周岁、有房产、按揭还款1年以上方可申请,1986.1
广州,10万元,12月,10333,2.4,月管理费 2.00%,1,12,分期还款,1,1,抵押贷,1,有工作或者自己做生意、收入稳定、征信良好1、有工作或者自己做生意2、收入稳定3、征信良好温馨提示：有工作或者自己做生意、收入稳定、征信良好方可申请,24000
