year,x
1978,100
1979,101.8
1980,107.908
1981,109.310804
1982,111.2783985
1983,111.8347905
1984,114.2951559
1985,134.4111033
1986,143.5510583
1987,155.8964493
1988,187.699325
1989,219.9836089
1990,231.8627238
1991,259.4543879
1992,285.1403723
1993,339.317043
1994,423.8069867
1995,497.1255954
1996,554.7921645
1997,584.1961492
1998,598.2168568
1999,601.806158
2000,622.8693735
2001,642.1783241
2002,630.6191142
2003,631.8803525
2004,638.199156
2005,647.7721433
2006,653.6020926
2007,669.2885428
2008,703.4222585
